source,target,quantity,percent_imports,percent_all_pottery,century
Didymoteicho,Izmir,75.0,7.5,4.1,18
Chanakkale,Izmir,100.0,10.0,5.5,18
Northwest_Anatolia,Izmir,270.0,26.9,14.8,18
Levant,Izmir,5.0,0.5,0.3,18
Italian_States,Izmir,155.0,15.4,8.5,18
France,Izmir,206.0,20.5,11.3,18
Delft,Izmir,18.0,1.8,1.0,18
England,Izmir,91.0,9.1,5.0,18
German_States,Izmir,62.0,6.2,3.4,18
China,Izmir,23.0,2.3,1.3,18
Northwest_Anatolia,Belgrade,17.0,94.4,7.3,16
Northwest_Anatolia,Belgrade,10.0,45.5,4.2,17
Central_Europe,Belgrade,8.5,38.6,3.6,17
Central_Europe,Belgrade,2.5,83.3,83.3,18
Italian_States,Belgrade,2.5,11.4,1.1,17
Italian_States,Belgrade,0.5,16.7,16.7,18
China,Belgrade,1.0,5.6,0.4,16
China,Belgrade,1.0,4.5,0.4,17
Northwest_Anatolia,Sofia,9.0,47.4,24.6,15
Levant,Sofia,1.0,2.2,1.7,17
Valencia_Spain,Sofia,2.0,10.5,5.5,15
Valencia_Spain,Sofia,1.0,2.4,1.6,16
Ephesus,Sofia,6.0,31.6,16.4,15
Central_Europe,Sofia,1.5,3.6,2.4,16
Central_Europe,Sofia,1.5,3.3,2.5,17
Italian_States,Sofia,2.0,10.5,5.5,15
Italian_States,Sofia,1.5,3.6,2.4,16
Italian_States,Sofia,3.5,7.8,5.9,17
China,Sofia,3.5,7.8,5.9,17
China,Sofia,2.5,6.0,4.1,18
Northwest_Anatolia,Sofia,37.5,90.4,61.0,16
Northwest_Anatolia,Sofia,35.5,78.9,59.7,17
Northwest_Anatolia,Sofia,23.0,54.8,37.7,18
German_States,Sofia,12.0,28.6,19.7,18
German_States,Sofia,5.0,50.0,17.2,19
German_States,Sofia,3.0,85.7,85.7,20
England,Sofia,1.0,2.4,1.6,18
England,Sofia,1.5,15.0,5.2,19
England,Sofia,0.5,14.3,14.3,20
Vienna,Sofia,3.5,8.3,5.7,18
Vienna,Sofia,3.5,35.0,12.1,19
China,Varna,6.0,24.5,1.4,18
German_States,Varna,2.0,8.2,0.5,18
Northwest_Anatolia,Varna,1.0,50.0,8.8,15
Northwest_Anatolia,Varna,12.5,62.5,9.9,16
Northwest_Anatolia,Varna,12.5,62.5,2.9,17
Italian_States,Varna,1.0,50.0,8.8,15
Italian_States,Varna,2.0,10.0,0.5,17
Italian_States,Varna,6.5,32.5,5.2,16
Italian_States,Varna,4.5,22.5,1.0,17
Chanakkale,Varna,1.5,6.1,0.4,18
Chanakkale,Varna,3.5,100.0,5.8,19
Northwest_Anatolia,Varna,15.0,61.2,3.5,18
Central_Europe,Varna,1.0,5.0,0.8,16
Central_Europe,Varna,1.0,5.0,0.2,17
Chanakkale,Mytilini,1.0,13.9,3.0,19
Northwest_Anatolia,Mytilini,2.5,100.0,8.1,16
Northwest_Anatolia,Mytilini,54.5,83.0,60.3,18
Northwest_Anatolia,Mytilini,5.0,62.5,13.2,17
Didymoteicho,Mytilini,0.5,6.9,1.5,19
Didymoteicho,Mytilini,0.5,13.5,1.9,20
Japan,Mytilini,0.5,6.9,1.5,19
Japan,Mytilini,0.5,13.5,1.9,20
Northwest_Anatolia,Mytilini,7.0,87.5,16.9,15
German_States,Mytilini,2.5,3.8,2.8,18
German_States,Mytilini,2.5,34.7,7.6,19
Levant,Mytilini,1.0,12.5,2.4,15
Italian_States,Mytilini,0.5,6.9,1.5,19
Italian_States,Mytilini,0.5,13.5,1.9,20
Levant,Mytilini,1.7,2.6,1.9,18
Levant,Mytilini,1.7,23.6,5.2,19
Levant,Mytilini,1.7,45.9,6.4,20
Italian_States,Mytilini,1.0,12.5,2.6,17
Italian_States,Mytilini,1.0,1.5,1.1,18
China,Mytilini,2.0,25.0,5.3,17
China,Mytilini,6.0,9.1,6.6,18
Italian_States,Mytilini,0.5,6.9,1.5,19
Italian_States,Mytilini,0.5,13.5,1.9,20
